Object ID,CNN ID,Street Name,Street Type,Supervisor District,Layer Input,Collection Method,Parking Supply,Year,Last Edited Date,Geom
2315,689000,16TH,AVE,07,STREETS,FIELD,47,2012,,"LINESTRING (-122.47288632918418 37.74879169785324, -122.47275537612633 37.74692639714298)"
2316,767000,17TH,AVE,07,STREETS,FIELD,43,2012,,"LINESTRING (-122.47382929951084 37.74687902184259, -122.47369760306998 37.745016494165434)"
2317,768000,17TH,AVE,07,STREETS,FIELD,37,2012,,"LINESTRING (-122.47369760306998 37.745016494165434, -122.47356664384945 37.74314852899805)"
2318,572000,14TH,AVE,07,STREETS,FIELD,44,2012,,"LINESTRING (-122.47037851930716 37.74516393325299, -122.4702481342218 37.74329410690656)"
2319,845000,18TH,AVE,07,STREETS,FIELD,38,2012,,"LINESTRING (-122.47476701489228 37.74496897000394, -122.47463704892694 37.74310155218715)"
2320,1015000,20TH,AVE,04,STREETS,FIELD,42,2012,,"LINESTRING (-122.47703711201156 37.74673745428472, -122.47690882092391 37.74487437869892)"
2321,1016000,20TH,AVE,04,STREETS,FIELD,41,2012,,"LINESTRING (-122.47690882092391 37.74487437869892, -122.47677781872031 37.743007570006874)"
2322,3854000,CECILIA,AVE,07,STREETS,FIELD,30,2012,,"LINESTRING (-122.47219771037676 37.745083132992775, -122.47224815849533 37.74475837392344, -122.47221704749902 37.744195798129, -122.47229482849399 37.744046640034, -122.47254264433803 37.74393027399718)"
2323,691000,16TH,AVE,07,STREETS,FIELD,27,2012,,"LINESTRING (-122.47293774615149 37.74504855570252, -122.47296257025843 37.744892779256936, -122.47294606403923 37.744787176991366, -122.47285452005436 37.74415713562859, -122.47277984349115 37.74403423113021, -122.47254264433803 37.74393027399718)"
2324,919201,19TH,AVE,04,STREETS,FIELD,5555,2010,,"LINESTRING (-122.47591524073958 37.7467869759721, -122.47596731356202 37.746674485091525, -122.47585251797796 37.74503079142788, -122.47578646162155 37.74492365548843)"
2325,5405000,FANNING,WAY,07,STREETS,FIELD,26,2010,,"LINESTRING (-122.47103166791983 37.7497803181637, -122.47155049303227 37.74920018535953, -122.47162048640692 37.74910363336148, -122.47165042705414 37.74901814355524, -122.47166131579418 37.74890448185762, -122.47176238408623 37.74884120603546)"
2326,10089000,PACHECO,ST,07,STREETS,FIELD,16,2010,,"LINESTRING (-122.47092074952742 37.752620774664415, -122.47085441339583 37.75224621754309, -122.470867354706 37.75202262734479, -122.47096284722672 37.75179870465793, -122.4711429510389 37.75158517190996, -122.47138308688463 37.75143518624919, -122.4716605069214 37.75133233976515, -122.47181312277628 37.751189720494985, -122.4718217617063 37.750822397060894, -122.4718919049759 37.750706002725614)"
2327,919101,19TH,AVE,07,STREETS,FIELD,9,2010,,"LINESTRING (-122.47591524073958 37.7467869759721, -122.47585053561005 37.74667962635397, -122.47573574152308 37.74503589204061, -122.47578646162155 37.74492365548843)"
2328,920201,19TH,AVE,04,STREETS,FIELD,5555,2010,,"LINESTRING (-122.47578646162155 37.74492365548843, -122.47583719559593 37.744811391640106, -122.47572310149812 37.7431776433994, -122.47565768786097 37.74305675009236)"
2329,920101,19TH,AVE,07,STREETS,FIELD,24,2010,,"LINESTRING (-122.47578646162155 37.74492365548843, -122.47572042323871 37.74481654805134, -122.47560633018246 37.74318278530468, -122.47565768786097 37.74305675009236)"
2330,844000,18TH,AVE,07,STREETS,FIELD,44,2010,,"LINESTRING (-122.47490052347594 37.746831756775634, -122.47476701489228 37.74496897000394)"
2331,9437000,MOUNTAIN SPRING,AVE,07,STREETS,FIELD,13,2013,,"LINESTRING (-122.45207151660601 37.75804278729392, -122.45128164488575 37.758090530156046)"
2332,8508000,GREAT,HWY,04,STREETS,REMOTE,5555,2010,,"LINESTRING (-122.50984629253328 37.76397422355972, -122.5098306018285 37.76373390938983, -122.50977357618588 37.76327843022373, -122.50963540116071 37.76213222473951)"
2333,2431000,ARGUELLO,BLVD,05,PARKS,REMOTE,15,2010,,"LINESTRING (-122.45828980164323 37.76728488407196, -122.45797544958626 37.76676782837301, -122.45788085203037 37.76661463659714, -122.45780249739317 37.76641695809001, -122.45780284406871 37.76601970794516)"
2334,7827102,KEZAR,DR,05,PARKS,REMOTE,5555,2010,,"LINESTRING (-122.45671252887165 37.76774812085373, -122.45704690952557 37.76764790665878, -122.45828980164323 37.76728488407196)"
2335,7827103,KEZAR,DR,01,PARKS,REMOTE,0,2014,,"LINESTRING (-122.45828980164323 37.76728488407196, -122.45855865951485 37.76720635339289, -122.45865038143725 37.767204941071476)"
2336,7827201,KEZAR,DR,01,PARKS,REMOTE,63,2010,,"LINESTRING (-122.45529581995945 37.76818029866839, -122.45541430839991 37.76819064387166, -122.45558395711059 37.76815680296025, -122.45672811344278 37.76781390398647, -122.45707557961708 37.76770976484895, -122.45858758081195 37.76726813857102, -122.45865038143725 37.767204941071476)"
2337,503000,11TH,AVE,07,STREETS,REMOTE,36,2014,,"LINESTRING (-122.46820400646949 37.760222589508146, -122.46807356381439 37.758355823055965)"
2338,473000,10TH,AVE,07,STREETS,REMOTE,39,2014,,"LINESTRING (-122.46713491021359 37.76026950064843, -122.46700582399453 37.758402576553905)"
2339,324000,06TH,AVE,05,STREETS,REMOTE,38,2010,,"LINESTRING (-122.46298522112323 37.76232070932003, -122.46285513272572 37.76045719463979)"
2340,325000,06TH,AVE,07,STREETS,REMOTE,14,2014,,"LINESTRING (-122.46285513272572 37.76045719463979, -122.46280511988161 37.75974072363443)"
2341,7558000,JOHNSTONE,DR,07,PARKS,REMOTE,0,2014,,"LINESTRING (-122.45628961726673 37.75738783413081, -122.45664110139903 37.757235513854, -122.45690076647752 37.75721701732783)"
2342,530000,12TH,AVE,07,STREETS,REMOTE,41,2014,,"LINESTRING (-122.46927637711012 37.760175525618585, -122.4691442412159 37.758308932376245)"
2343,361000,07TH,AVE,05,STREETS,REMOTE,33,2014,,"LINESTRING (-122.46405522578662 37.76227378878568, -122.46392511084814 37.76041028337872)"
2344,397000,08TH,AVE,05,STREETS,REMOTE,38,2014,,"LINESTRING (-122.46512807400515 37.76222673269938, -122.46499427467424 37.76036339939059)"
2345,8216000,LAWTON,ST,04,STREETS,REMOTE,3,2010,,"LINESTRING (-122.49496490931239 37.75716880953117, -122.49550005403252 37.757145179581585)"
2346,8217000,LAWTON,ST,04,STREETS,REMOTE,6,2014,,"LINESTRING (-122.49550005403252 37.757145179581585, -122.49603472107552 37.75712156790397)"
2347,8187000,LAWTON,ST,07,STREETS,REMOTE,6,2014,,"LINESTRING (-122.46486471192364 37.75849629977273, -122.46535714442298 37.75847474743473)"
2348,19845000,GALEWOOD,CIR,07,PRIVATE,REMOTE,0,2014,,"LINESTRING (-122.45714377168909 37.75277163758184, -122.45707272371945 37.75245652504774, -122.45711558622209 37.75238480184712, -122.45739750809263 37.75234655519154)"
2349,475000,10TH,AVE,07,STREETS,REMOTE,42,2014,,"LINESTRING (-122.46687555542897 37.75653893941674, -122.46674311754902 37.75467286217103)"
2350,1751000,34TH,AVE,04,STREETS,REMOTE,44,2014,,"LINESTRING (-122.49268861014532 37.75540341652878, -122.49256109259713 37.75353694943232)"
2351,1752000,34TH,AVE,04,STREETS,REMOTE,49,2014,,"LINESTRING (-122.49256109259713 37.75353694943232, -122.49243068231985 37.75166696082332)"
2352,2289000,ANGLO,ALY,07,STREETS,REMOTE,0,2014,,"LINESTRING (-122.47475388984559 37.75245279991781, -122.47462412879842 37.75058563134494)"
2353,2290000,ANGLO,ALY,07,STREETS,REMOTE,0,2014,,"LINESTRING (-122.47462412879842 37.75058563134494, -122.47457839388817 37.74992750943912)"
2354,13401000,WARREN,DR,07,STREETS,REMOTE,33,2014,,"LINESTRING (-122.46150440086588 37.756781804825394, -122.46190045088113 37.75741154765329, -122.46212827806524 37.75807304099206, -122.4628759293242 37.75867749160115, -122.46308289434383 37.758664368043746, -122.46323916761894 37.75856742890812)"
2355,3999000,CHRISTOPHER,DR,07,STREETS,REMOTE,28,2014,,"LINESTRING (-122.45736579697831 37.75569364064499, -122.45763189767477 37.755085868481586, -122.45781204695085 37.75487792492851, -122.45791713674564 37.75478224317861, -122.45808138509528 37.754685577544706, -122.45829963702761 37.75462378769212)"
2356,7992201,LAGUNA HONDA,BLVD,07,STREETS,REMOTE,0,2014,,"LINESTRING (-122.45874173560006 37.746760368719926, -122.4587451297642 37.74668870870633, -122.45870944137059 37.74664753262637)"
2357,7991201,LAGUNA HONDA,BLVD,07,STREETS,REMOTE,5555,2010,,"LINESTRING (-122.45918759244684 37.74729125861002, -122.45918406014354 37.74718381325769, -122.45885990437607 37.7467966706659, -122.45874173560006 37.746760368719926)"
2358,7991101,LAGUNA HONDA,BLVD,07,STREETS,REMOTE,5555,2010,,"LINESTRING (-122.45918759244684 37.74729125861002, -122.45904278142594 37.74726416976175, -122.45870448047108 37.74686344876475, -122.45874173560006 37.746760368719926)"
2359,12277101,SUNSET,BLVD,04,STREETS,REMOTE,5555,2010,,"LINESTRING (-122.4956304483769 37.759009434724454, -122.49569622728 37.758934705314545, -122.49557588696504 37.75720975246377, -122.49550005403252 37.757145179581585)"
2360,617000,15TH,AVE,07,STREETS,REMOTE,11,2010,,"LINESTRING (-122.4719753436221 37.75905045315987, -122.4715876391464 37.758168722789314)"
2361,618201,15TH,AVE,07,STREETS,REMOTE,5555,2010,,"LINESTRING (-122.47204026443094 37.757470200103576, -122.47209712485564 37.757358732556526, -122.47221417236514 37.75712301631851, -122.47240788019208 37.75684844378565, -122.47265085474577 37.75656264337923, -122.47270967510897 37.756435189997795, -122.47273004345102 37.756286503738885)"
2362,620000,15TH,AVE,07,STREETS,REMOTE,22,2010,,"LINESTRING (-122.47208444677311 37.755243453951394, -122.47204716048498 37.75468658534818, -122.47206258524676 37.754574932372286, -122.47207723392553 37.75450194978663, -122.47213753691587 37.754393770789534)"
2363,7923000,LA PLAYA, ,04,STREETS,REMOTE,28,2014,,"LINESTRING (-122.50928230705074 37.76214785723538, -122.50915445000297 37.76028725870628)"
2364,8509000,GREAT,HWY,04,STREETS,REMOTE,5555,2010,,"LINESTRING (-122.50963540116071 37.76213222473951, -122.50939484740776 37.76027662286752)"
2365,7924000,LA PLAYA, ,04,STREETS,REMOTE,48,2010,,"LINESTRING (-122.50915445000297 37.76028725870628, -122.50902864372608 37.758500995660135, -122.5091245169491 37.758419389083635)"
2366,8510000,GREAT,HWY,04,STREETS,REMOTE,5555,2010,,"LINESTRING (-122.50939484740776 37.76027662286752, -122.50917911712637 37.758493011422885, -122.5091245169491 37.758419389083635)"
2367,12672000,TRANSVERSE,DR,01,PARKS,REMOTE,34,2010,,"LINESTRING (-122.47969859317519 37.76776704444185, -122.47961569338209 37.767596289961205, -122.47945116986236 37.76730258050042, -122.47915721360135 37.7669010597698, -122.47888862958779 37.766546932570655, -122.47867142338917 37.7663114869651, -122.47830740233631 37.76603461703304, -122.47827218449767 37.76592162872369)"
2368,12278201,SUNSET,BLVD,04,STREETS,REMOTE,5555,2010,,"LINESTRING (-122.49550005403252 37.757145179581585, -122.49556861077552 37.757032142105984, -122.49545399772002 37.75538922671499, -122.49537091001048 37.75528129287356)"
2369,7827101,KEZAR,DR,05,PARKS,REMOTE,5555,2010,,"LINESTRING (-122.45529581995945 37.76818029866839, -122.4553697610351 37.76813170910314, -122.4555546313388 37.76809513915778, -122.45671252887165 37.76774812085373)"
2370,7530202,JOHN F KENNEDY,DR,01,PARKS,REMOTE,0,2014,,"LINESTRING (-122.45497396709045 37.77113665162758, -122.45530296641796 37.770934601608324)"
2371,7826201,KEZAR,DR,01,PARKS,REMOTE,5555,2010,,"LINESTRING (-122.45530296641796 37.770934601608324, -122.4553932755583 37.77083126333134, -122.45547434179414 37.770650132238146, -122.45546037883669 37.770383768813815, -122.45538113828555 37.77016144243577, -122.45523740795912 37.76988354550697, -122.45507488643973 37.76954252552612, -122.45497178082086 37.76932936541837, -122.45491124869848 37.769070390136754, -122.4549053410824 37.76884592436843, -122.4549682947427 37.7685896469388, -122.4550571262155 37.76839782128213, -122.45526706119801 37.76824574686956, -122.45529581995945 37.76818029866839)"
